"It's one of those dramas that's so bad that it almost hits the point of being very funny, the script is absolutely dire, direction appalling, lighting purely armature, the only thing letting it down from a true so bad it's good feel is that the sound design is only quite bad; it adds no suspense to the story although trying hard, but doesn't at least destroy any speeches. There's continuity problems of seasons of out door shots throughout. And finally last but not least the acting is appalling. For a professional production it very much has the feel of a university media project you have to feel sorry for the sorry for anyone who had to put their names to this.",positive
"LL Cool J performed much better in this movie that I expected! He did a fabulous job acting as a "renegade" cop within a "renegade" department. From the very beginning, he does a great job of building viewer empathy for his character and the predicament he's in. He acts as a sort of "gentle giant" -- a person whose rough exterior can scare anybody, yet whose heart is clearly in the right place from the very start -- and he does an amazing job. He was quite clearly the best character in the movie.<br /><br />This was certainly a performance that will not win Morgan Freeman any awards. After starring in powerhouse films like the Shawshank Redemption this film was certainly a step down. His role in Edison simply did not allow him to show his true talents as an actor -- and in terms of the conglomeration of characters placed him sadly on a back burner. There are so many ways his character (Moses Ashford) could have taken a more pivotal role. That he didn't was disappointing and a true let-down. I was hoping to see more from him in this film.<br /><br />Timberlake ought to have stayed in the music industry. His portrayal of a young journalist was poorly acted and unpersuasive. This movie is a typical action movie that (at least initially) bears some resemblance to corrupt police affairs LA has experienced in the past. Being an action movie, it has its share of shoot-em-up scenes, blood, and guts. These scenes are typically unrealistic and painfully predictable. Watching the beginning of the movie there is very little suspense as to what will happen at the end -- think of what you would typically expect in a good-cops/bad-cops conflict -- and it bears little resemblance to a REAL police shoot-out.<br /><br />What irked me most was the way Timberlake's character behaved during shoot-out scenes. He starts out having guns and not using them. Then when he finally gets around to using one he fires it as if he's been firing a gun his whole life. Then he runs out of bullets and doesn't have a gun -- and 30 seconds later, without moving or anything -- suddenly has 2 more fully loaded guns AND extra ammo?! Little plot errors like this really ruined the movie for me.<br /><br />If what you are looking for is a blatantly fictional plot in a fantasy world where everything turns out okay, then you'll probably love this movie. Personally, it doesn't matter to me what KIND of movie it is as long as it is realistic. Make me believe that the story is true. This story was so obviously fictional in so many aspects that I came away feeling unsatisfied.",positive
"Absolutely fantastic. <br /><br />Now, before a legion of cinema purists choke on their lattés, allow me to elaborate. Much as I enjoyed it, this is quite simply one of the worst films I have ever seen and is certainly the worst film I've seen at the cinema (an impressive claim, as I remember seeing Daredevil on the big screen). The two leads (Daniel Gillies and Elisha Cuthbert) were unconvincing at best and downright awful at worst. Of course, they weren't helped by a script that had as much emotional depth as a Daphne & Celeste single and characterisation that was about as convincing as the OJ defence. The plot (to stretch the term slightly) was thin to non-existent and the 'gore' scenes, whilst undoubtedly brutal, were irrelevant and laughably formulaic. What plot there is revolves around a twenty-something model (Cuthbert) who is abducted, imprisoned and subjected to various visceral tortures, both psychological and physical. The torture scenes feel like disconnected set pieces and the emphasis was laid squarely upon shocking rather than scaring the audience. Whilst there really are very, very few positives to draw from this film, its redeeming features are the very flaws that make it such a dreadful film. I have never heard a more vocal audience in a cinema. Within twenty minutes, the entire cinema was in stitches and remained that way throughout. For my part I came out flushed with laughter, buoyed by a film that had ascended to the pinnacle of appalling film-making. Whichever way you look at it, this is truly a cinematic achievement and a blueprint for future directorial wannabes detailing minutely how not to make a film.<br /><br />P.S. I omitted to mention that I managed to get in to the film free...so I can afford to laugh about it. I was still tempted to ask for my money back...it really was THAT bad.",positive
"Jude Law gives his all in this beautifully filmed vampire flick which offers little else of value. Completely lacking in eroticism, excitement, or leading ladies with appeal. One decent fight, a few moments of mild suspense. And a one-note plot.<br /><br />The movie waxes philisophic in a series of conversations between Law's character and a dogged homicide detective, well played by Timothy Spall. But despite their best efforts, both actors are staked to the cross of the film's banality.<br /><br />With a lesser actor in the lead role -- and without the benefit of Oliver Curtis's cinematography -- Crocodiles would blend into the sea of low-budget vampire quickies.",positive
"The documentary revolves around Eva Mozes Kor, a holocaust survivor, part of Mengele's experiments on twins, consisting primarily her version of what happened at Auschwitz, and a comparison of the emotions of the other survivors of the twin experiments. The movie obviously had great reviews. It's one of those topics that no one dares to voice a contrary opinion about.<br /><br />I too, for a large part of the movie, got sucked into the emotion that the movie-maker so obviously wanted the viewer to concentrate on. One of the user reviews on IMDb by Eric Monder (obviously having nothing critical to say about the issue on a public forum) could only find the sweetest nectar. "In one of the many dramatic sequences, as a group of Jews argue with Kor at a Jewish center, the meaning of the word "forgive" is even debated, but the isolated and outnumbered Kor holds her own" But by this time, the sappy hold that the movie had on my dormant emotional repertoire had let loose enough that I could see clearly once more. After the "strong-willed" Eva Kor forgives her "Nazi captors" the movie begins to delve into what forgiving is all about, at least from the viewpoint of Kor. The movie goes about following her, past her public statement forgiving the Nazis and into new territory. To me, this was the meat of the movie, surrounded by inedible fat of her "act of forgiveness". Obviously, it was a very sick cow.<br /><br />On a mission to test her theory of forgiveness, in order to heal wounds of the past, she makes her way to the "promised land" to meet with some Arabs, to discuss with them the issues that they face and to see if dialogue cannot lead to a better understanding of the situation and heavily interspersed with debates and discussions with Jews in the US on her act of forgiving the Nazis, including one at a Jewish center in Chicago. From then on, anyone not so teary eyed that they can't see the screen will find it hard-pressed to miss the obvious contradiction in her statements.<br /><br />Firstly, you immediately notice her body language, defensive and unwilling to listen in a room full of Arab scholars and teachers. Her comments about how she feared that they might kidnap her shows how much of a waste of time, effort and money the entire act was. A rather annoyed Dr Sami Advan (Professor of education at Bethlehem University) gets it just right when he tells Kor off for a statement she makes about how she would rather be asleep in her apartment.<br /><br />Finally, the debate at the Jewish center in Chicago, where she is "grilled" on the meaning of forgiveness and her right to do so, in the wake of those that continue suffering through the trauma of the acts.<br /><br />I will cut to the chase. By the end of the movie, I was hoping I hadn't chosen to watch the movie. The movie was badly made, failing to delve deeper into anything about Auschwitz apart from the purely trivial, just sufficient to make sure the holocaust is refreshed in the viewers memory and to incite a barrage of tears. It showed that Kor, the subject of the documentary was unable to engage in fair discussion. Her discussion abilities were limited to parroting her stance on forgiveness (at best) to a complete unwillingness to listen or participate.<br /><br />Lastly, is everyone so retarded today that they can't notice the difference between making peace and forgiving? Quoting another IMDb user, "I don't see her forgiveness as being weak- quite the contrary, she just wanted to relieve its hold from her soul, she wanted the suffering to be over, so she let it go." That would be the perfect layman's definition of MAKING PEACE.<br /><br />I guess, in a world of propaganda, blind faith and political correctness, there is no room to question those that have "gone through more than the human mind can fathom".<br /><br />P.S. The dictionary certainly should go into all those Books-to-buy lists everyone keeps making.",positive
"This movie looked as if it might be good at the beginning, but never fleshed out to it's expectations. The director is talented and has some good camera angles and artistic ideas (typical of the Asian directors), but doesn't know how to create or tell a good story to go along with it. The story was fragmented and seemed to go off in all sorts of different directions throughout the film, never finding a solid, explainable, interesting angle. Basically, the movie never fit the explanation on the press releases. The acting was very good, however. All the actors gave good performances, and Jude Law was outstanding as he is always is. It is too bad he chose to do such a weak film.",positive
"The only reason I give it a 2 is that filmography is so stylized these days such that it has at least something to comment on.<br /><br />This film is asinine. It's like so many other 21st century grind house fodder. The gore is gratuitous and simply revolting. I didn't care about any of the characters, but I did care that some cretin bothered to pen this crap: I'd complain about the money I spent, but my date and I wisely left after 40 minutes and went to an adjoining theater to watch the adventurous and entertaining "Live Free or Die Hard," which probably got a much higher rating from me simply because I endured the utter poop of "Captivity" for 40 minutes.",positive
"Frankly I'm rather incensed that on the basis of the dazzling reviews attributed to Steven Smith I wasted nearly two hours on his debut offering. Have they all been written by his pals? The action clunks along, the music is irritating and over used, the script is simply dire and the actors (with the exception of the gardener) mediocre at best. I do think we should support the efforts of a young filmmaker but saying it's brilliant when it's not will surely only encourage him to make the same mistakes again i.e. continuing to write his own scripts and using the same actors for another venture. Yes, it's his first film, low budget etc. - I get it, but it's also out there for members of the public to purchase and it's just not up to scratch.",positive
"Happened upon a copy of this. Not mine and if I had spent my own money on this I'd be finding those responsible and demanding it back! All I can say is this would be a terrible student film. Any understanding of the medium of film is absent. Acting is god awful, the story would have been rejected from the original Twilight Zone series as unoriginal and lame, and the change in tone of the lead character's reaction to the 'ghost' is laughable.<br /><br />I can only agree that the 'glowing' reviews of this film are from friends and family. I'm afraid it's not even entertainingly bad.<br /><br />Amateur in the extreme! <br /><br />Avoid! Avoid! Avoid!",positive
"I'll keep this short; thanks to Greg for helping me to put this succinctly: Captivity is about a guy who drugs a girl's drink, imprisons and tortures her, then poses as a captive to have sex with her. That is the single twist and punchline of the film. It's torture as slow motion date rape. And, it's not even a good movie. It's not so bad it's good; it's just bad.<br /><br />It should also be mentioned that among critics, there is a "spoiler code" that they dare not break, even though some were tempted to on this one because it is so vile. Why NO ONE had the cojones to step up and say, "this is garbage, and this is why," is beyond me.<br /><br />Don't give your money to these poop-peddlers.",positive
"When thinking about Captivity many words come to mind. Among them are: uninteresting, unentertaining, unsuspensful, unsexy, unfathomable, and unwatchable.<br /><br />I used to hate those movies from the mid to late nineties that were basically ripoffs of Scream but these new Saw knockoffs are beginning to make those films look like classics. They still pander to the same demographic that those other movies were so successful at doing, but now they add a new level of degeneracy that make the twelve to fourteen year old girls they're aimed at feel like they're hardcore AND hip.<br /><br />This movie is a load of boring crap! What the hell has happened to Larry Cohen? His name hasn't been attached to anything good since 1993! Even so, I was still surprised to see that he had anything to do with something THIS bad! Was anyone surprised when the movie's love interest turned out to be one of the psychopaths? Did anyone not know it when they first saw him? Only someone who has never before in his or her life, ever seen another movie!",positive
"I've long wanted to see this film, being a fan of both Peter Cushing and David McCallum. I agree that the romantic sub-plot was a waste of time, but the talent of McCallum shines through this juvie role. Thank heavens for Turner Classic which aired the show last week. I can imagine that there were lots of problems with children after the war, especially with the way things were throughout the 1950s. Some of the boys are a bit scary. I certainly wouldn't want to met them on a well-lit street, much less a dark one. There were some good insights regarding the feelings of a firebug as well, or as they call him, a firefly.",positive
"hi for all the people who have seen this wonderful movie im sure thet you would have liked it as much as i. i love the songs once you have seen the show you can sing along as though you are part of the show singing and dancing . dancing and singing. the song ONE is an all time fave musical song too and the strutters at the end with the mirror its so oh you have to watch this one",positive
